Date,Predicted_Sales,Lower_Bound,Upper_Bound
2017-12-31,2483.2639881822593,18.459066873974727,4973.084361167319
2018-01-01,2568.3244701357476,197.8999193204752,5149.017191785588
2018-01-02,1336.6130365088477,-1345.3181960572228,3787.637805763436
2018-01-03,-30.327974404116684,-2473.151775241645,2559.439292628165
2018-01-04,1645.2528915356263,-759.9908477158215,4424.754652457418
2018-01-05,2158.4255577115023,-341.75315954177927,4846.85424633827
2018-01-06,1582.4001206559499,-911.5575643738662,4027.272654345325
2018-01-07,1706.2653007324188,-734.2309895140515,4307.2185694035525
2018-01-08,1840.6266070461954,-708.6348070720642,4399.876392120705
2018-01-09,663.0841404332116,-1823.370519416197,3076.842303153389
2018-01-10,-642.293485059357,-3326.560735649875,1899.1545210941026
2018-01-11,1110.5446245710434,-1251.017575570344,3726.2815657958377
2018-01-12,1702.7233204286351,-996.3332779476347,4133.311227485059
2018-01-13,1206.1745319729691,-1367.0455259090893,3798.753376751341
2018-01-14,1413.730409767152,-1036.7513259458929,3983.576528554465
2018-01-15,1632.267292940361,-981.8240637143632,4169.796895275305
2018-01-16,533.7435019790564,-2131.8780657508764,3278.077231032381
2018-01-17,-695.9206224540297,-3078.5544767816746,1909.9907104627061
2018-01-18,1137.190906634636,-1515.5208064012786,3689.4187771457555
2018-01-19,1800.0777471546476,-792.836502294849,4529.205084953255
2018-01-20,1363.475782202512,-1172.3323901320086,3883.4321405615883
2018-01-21,1624.306686164237,-853.3241550217522,4309.605597156637
2018-01-22,1886.3230191330863,-559.6526704722831,4400.26198299673
2018-01-23,816.6949641430583,-1734.3044685955226,3522.641930125663
2018-01-24,-395.7207352615412,-2944.871132922367,2090.6708727732193
2018-01-25,1452.149672272895,-862.1381349236464,3977.424795691493
2018-01-26,2114.652962669523,-312.924056942053,4635.348168473714
2018-01-27,1662.9478923876072,-785.6318706748559,4364.062572527866
2018-01-28,1899.774244334947,-895.6595089853945,4446.7095754734855
2018-01-29,2127.559062740075,-363.9542288827513,4739.268145016617
2018-01-30,1010.5102580402573,-1328.159019067133,3516.3607498346296
2018-01-31,-257.7687101672198,-2947.7081679611065,2345.941253496295
2018-02-01,1536.7052540287036,-953.2544894371634,4250.597767851856
2018-02-02,2137.2767408498157,-295.91479143521076,4816.11014261154
2018-02-03,1617.0371122721847,-977.2124506313536,4174.7398040576945
2018-02-04,1785.8760150621056,-819.5481747870759,4367.2978412910115
2018-02-05,1946.0157382057453,-766.6724263382856,4382.664865641597
2018-02-06,759.5834964888071,-1939.698656257465,3398.082605916475
2018-02-07,-574.4507817749425,-2978.624298288545,2045.4647136911003
2018-02-08,1169.146765781855,-1518.3941233920802,3904.3614523903425
2018-02-09,1722.7716992567896,-888.4992346874551,4135.51781754449
2018-02-10,1161.2097868264268,-1403.1287595020888,3770.670948750874
2018-02-11,1300.974850934005,-1420.1920789635583,3815.064280618829
2018-02-12,1443.2820047041564,-1058.9671270100614,4010.797340120569
2018-02-13,247.11602613333386,-2358.85730095197,2726.5671664914034
2018-02-14,-1084.4840826959728,-3683.1956577043798,1513.5169133759055
2018-02-15,683.4626235957312,-1995.907657141305,3320.2728094478953
2018-02-16,1270.7270681331531,-1227.350508532598,3816.5841419715866
2018-02-17,751.9804362335267,-1677.7217768017513,3366.1807120425915
2018-02-18,948.4601438393431,-1596.566346564969,3303.6586502739606
2018-02-19,1158.4259802790154,-1544.8073036210742,3684.2976569821644
2018-02-20,35.76977305449157,-2430.2055931273144,2863.596781407462
2018-02-21,-1214.308003623519,-3875.2291619821135,1331.2602745285553
2018-02-22,651.1002480056254,-1658.447579490614,3302.093034411055
2018-02-23,1337.4497237184157,-1284.28748375442,3855.673141635817
2018-02-24,917.7743373584073,-1783.3735858807017,3538.113762917981
2018-02-25,1216.7158253661514,-1315.8561912284133,3661.68019691861
2018-02-26,1528.4929240716426,-1036.3210424136444,4042.6152223165905
2018-02-27,501.076852235811,-2099.127019830058,3086.560398726323
2018-02-28,-658.721679942256,-3239.1804771022585,2119.17216444732
2018-03-01,1299.6685182344631,-1252.8633732506885,3896.648640263996
2018-03-02,2067.4169347240113,-638.8119424776997,4527.373573777723
2018-03-03,1716.2412747851977,-914.1449205663124,4349.185615150093
2018-03-04,2074.7908147731737,-236.54464521441037,4622.261855510907
2018-03-05,2434.113131428268,-41.17708344843945,4748.290175659078
2018-03-06,1437.3737413100764,-1240.9166069689663,3981.5491777911766
2018-03-07,294.3262388871853,-2308.7918862327665,3051.2035874701764
2018-03-08,2264.723619048255,-264.1360774914787,4782.551650730984
2018-03-09,3027.117169762162,545.605668063669,5544.172242581934
2018-03-10,2653.685753145209,223.6816710959492,5135.285751014398
2018-03-11,2978.931783547663,379.12263041912183,5576.080041430681
2018-03-12,3292.6027303237233,947.8037470365163,5973.040925039403
2018-03-13,2234.9120341107114,-270.54567194384344,4885.073075099392
2018-03-14,1020.3504370437319,-1599.41758845238,3665.858624110201
2018-03-15,2919.5476557128313,387.66330247250045,5682.151936499862
2018-03-16,3599.9952721721656,978.5463220774456,6398.430842134378
2018-03-17,3135.7220729692003,623.3822895754433,5578.573285650728
2018-03-18,3368.273887287224,843.3264103459784,5914.437100574412
2018-03-19,3587.0662799402776,1047.829098258725,6156.214515154037
2018-03-20,2430.088846412477,-89.31844304191978,5155.76093550211
2018-03-21,1117.0458773205767,-1403.4561025191829,3780.0387192110206
2018-03-22,2929.6627626421005,385.17138100767346,5362.71917643792
2018-03-23,3524.3335393202506,1131.6645227437461,6194.151356985563
